github.com/AlDanial/cloc v 2.06  T=0.44 s (286.0 files/s, 64589.3 lines/s)
-----------------------------------------------------------------------------------------------------------------------
File                                                                                blank        comment           code
-----------------------------------------------------------------------------------------------------------------------
./_legacy/trends/pretty.txt                                                             0              0           3558
./tests/test_imputation/test_impute.py                                                353            157           1426
./_legacy/trends/figuring.txt                                                          18              0            872
./filelist.txt                                                                          0              0            780
./notebooks/01_selenium.ipynb                                                           0           1136            691
./_legacy/tts.txt                                                                      33              0            671
./src/uqbar/acta/trend_newstext_maker.py                                              133            278            658
./src/uqbar/acta/utils.py                                                             154            137            616
./tree.txt                                                                              0              0            545
./src/uqbar/acta/mood_predictor.py                                                     93            130            469
./tests/test_imputation/test_knn.py                                                   107             30            433
./src/uqbar/cli.py                                                                     93            140            422
./_legacy/trends/2_2025-12-18_13-01-55.txt                                            176              0            420
./src/uqbar/acta/image_scraper.py                                                     134            141            329
./README.md                                                                           117              0            320
./_legacy/trends/1_trend_rss_feed.xml                                                   0              0            309
./resources.txt                                                                       161              0            306
./src/uqbar/acta/trend_prompt_parser.py                                                97             76            285
./src/uqbar/acta/image_downloader.py                                                   76            100            280
./src/uqbar/acta/trend_download_scraper.py                                            108             98            271
./src/uqbar/acta/core.py                                                               69            130            245
./pyproject.toml                                                                       45            101            224
./STYLE_GUIDE.md                                                                       86              0            214
./src/uqbar/milou/book_processor.py                                                    66            100            197
./src/uqbar/quincas/resources.txt                                                      82              0            177
./_legacy/trends/_test_2.py                                                            28             25            176
./src/uqbar/tieta/claude_prompt_parser.py                                              51             43            175
./tests/test_imputation/test_common.py                                                 38             16            172
./src/uqbar/quincas/utils.py                                                           68             73            164
./DESIGN.md                                                                            50              0            143
./src/uqbar/acta/video_maker.py                                                        35             70            139
./src/uqbar/milou/book_pdf_downloader.py                                               43             43            138
./_legacy/trends/_pretty_html.py                                                       45             39            118
./src/uqbar/acta/image_processor.py                                                    61             67            118
./src/uqbar/faust/core.py                                                              44             58            112
./tox.ini                                                                              10              0            110
./src/uqbar/faust/matching.py                                                          28             29            109
./src/uqbar/tieta/pdf_parser.py                                                        37             49            109
./src/uqbar/milou/youtube_downloader.py                                                16             16            108
./_legacy/youtube_downloader.py                                                        14             16            106
./_legacy/duck_files/_out.txt                                                           0              0            102
./requirements-dev.txt                                                                  6              0             89
./notebooks/03_pdf_selenium.ipynb                                                       0            202             85
./src/uqbar/acta/audio_background_maker.py                                             62             65             85
./src/uqbar/acta/audio_processor.py                                                    62             65             85
./src/uqbar/acta/audio_tts_maker.py                                                    62             65             85
./_legacy/snapshot.sh                                                                  22             44             81
./_legacy/dupes.py                                                                     15             15             78
./src/uqbar/utils/stats.py                                                             37             87             78
./tests/test_imputation/test_base.py                                                   28              1             78
./src/uqbar/milou/core.py                                                              33             61             68
./_legacy/trends/_extension.py                                                         24             26             67
./src/uqbar/faust/io.py                                                                24             28             64
./src/uqbar/utils/executor.py                                                          25             62             60
./src/uqbar/tieta/core.py                                                              25             55             53
./_legacy/trends/test_3.py                                                             27             10             50
./notebooks/02_mood_prediction.ipynb                                                    0            315             49
./requirements.txt                                                                      5              0             43
./src/uqbar/quincas/one_more_time.py                                                   56            100             41
./_legacy/trends/_llm.py                                                               22             29             40
./CODE_OF_CONDUCT.md                                                                   13              0             38
./src/uqbar/faust/ansi.py                                                              17             29             37
./src/uqbar/utils/web.py                                                               32            231             36
./src/uqbar/quincas/music.py                                                           65            136             29
./CONTRIBUTING.md                                                                      16              0             28
./Dockerfile                                                                           16             16             27
./src/uqbar/quincas/organization.txt                                                    9              0             27
./docs/make.bat                                                                         8              1             26
./Makefile                                                                             11             50             25
./_legacy/duck.html                                                                     0              1             25
./_legacy/trends/out.txt                                                                0              0             25
./_legacy/web.html                                                                      0              1             25
./noxfile.py                                                                           11              5             24
./src/uqbar/default/utils.py                                                           20             34             24
./src/uqbar/faust/utils.py                                                             12             25             24
./src/uqbar/tieta/utils.py                                                             20             34             24
./src/uqbar/utils/utils.py                                                             17             31             24
./examples/acta/run.sh                                                                  8              6             22
./_legacy/trends/_test.py                                                              99            278             21
./pyrightconfig.json                                                                    5              0             21
./src/uqbar/faust/constants.py                                                         10             22             21
./environment.yaml                                                                      4              4             20
./repo.txt                                                                              4              0             19
./ruff.toml                                                                             7             10             19
./_legacy/trends/out_2.txt                                                              0              0             17
./src/uqbar/_version.py                                                                14             25             15
./src/out.txt                                                                           0              0             14
./src/uqbar/quincas/core.py                                                            19             46             14
./SECURITY.md                                                                           6              0             13
./clean.sh                                                                             10              8             13
./_legacy/trends/_out.txt                                                               8              0             12
./CHANGELOG.md                                                                          3              0             11
./_legacy/trends/3_llm_answer.txt                                                       8              0             11
./src/uqbar/default/core.py                                                            20             53             11
./treecloc.sh                                                                           5              3             10
./docs/Makefile                                                                         4              7              9
./src/uqbar/__init__.py                                                                 8             22              6
./_legacy/web_files/l.32113981e35aa54fc221.js                                           9             57              5
./_legacy/web_files/wpm.images-vertical.40a5f8103bc86f100887.css                        0              0              5
./src/uqbar/__main__.py                                                                 8             19              5
./src/uqbar/acta/__init__.py                                                            6             19              5
./src/uqbar/default/__init__.py                                                         6             19              5
./src/uqbar/faust/__init__.py                                                           6             19              5
./src/uqbar/milou/__init__.py                                                           6             19              5
./src/uqbar/tieta/__init__.py                                                           6             19              5
./_legacy/web_files/b.440252225890dd1898af.js                                           0             15              4
./_legacy/web_files/post3.html                                                          3              1              4
./src/uqbar/milou/utils.py                                                             13             31              4
./_legacy/trends/out_3.txt                                                              0              0              3
./_legacy/web_files/wpl.main.d24383dc4b1072cd8b4a.css                                   0              0              3
./examples/acta/requirements.txt                                                        0              0              2
./_legacy/web_files/d.a791113486742c4821d0.js                                           0              0              1
./_legacy/web_files/g.1c00cf05f8263da7e8df.js                                           0              0              1
./_legacy/web_files/p.f5b58579149e7488209f.js                                           0              0              1
./_legacy/web_files/pt_BR.e6e8a6cb4dd12d9b10cfb14178809f0e.js                           0              0              1
./_legacy/web_files/r.a52d8b0a115670fa9b28.css                                          0              0              1
./_legacy/web_files/s.323e057b0497b1a5a089.css                                          0              0              1
./_legacy/web_files/s.c944dd95f816265a132c.js                                           0              0              1
./_legacy/web_files/u.a2a69993ef4aeec48eac.js                                           0              0              1
./_legacy/web_files/wpl.main.eb8d7831b0416d0970f5.js                                    0              0              1
./_legacy/web_files/wplv.f70ada26bd73e1324b38.js                                        0              1              1
./_legacy/web_files/wpm.dax-heart-animation.69f2f5679a44151cefc7.css                    0              0              1
./_legacy/web_files/wpm.feedback-modal.e6b20cbec26ddcfd8966.css                         0              0              1
./_legacy/web_files/wpm.main.ee77590008c54822c6cb.js                                    0              0              1
./_legacy/web_files/wpmv.e859a5bf05c95ad5b38f.js                                        0              1              1
./src/uqbar/quincas/__init__.py                                                         6             32              1
./tests/__init__.py                                                                     0              1              0
-----------------------------------------------------------------------------------------------------------------------
SUM:                                                                                 3882           5859          18938
-----------------------------------------------------------------------------------------------------------------------
